Input size	Execution Time (Bipartite Matching)
1		0.00039164800000435207
2		0.00023921700000073542
3		0.00025553100000053064
4		0.00026614299999749846
5		0.0003007639999950129
6		0.00031512000000333273
7		0.00034673199999701865
8		0.0003674439999983292
9		0.0004171380000030922
10		0.00043596999999806485
11		0.0005483939999990639
12		0.0005530520000007755
13		0.0005621210000015253
14		0.0006079759999977341
15		0.0006622040000010543
16		0.0007017770000032897
17		0.0007459369999978094
18		0.0007958700000045837
19		0.0009325039999978912
20		0.0011481569999958197
21		0.0010983020000026045
22		0.0010694229999970162
23		0.001482391999999777
24		0.0012048520000007557
25		0.001288598000002139
26		0.0014249150000011923
27		0.0015002420000058692
28		0.0023933060000018713
29		0.0016622659999967482
30		0.0018596190000010893
31		0.0018491180000026475
32		0.002230926999999383
33		0.002092070000003332
34		0.0031182849999993323
35		0.002271747000001767
36		0.00292971999999736
37		0.0025208980000002157
38		0.002586309999998093
39		0.00276248900000553
40		0.0029401130000010767
41		0.00314975399999895
42		0.003626905000004399
43		0.003231434999996452
44		0.003513869999999031
45		0.0036769099999958144
46		0.003690229999996575
47		0.003957503999998835
48		0.003996962000002213
49		0.004379374999999186
50		0.005096182000002614
51		0.004423570999996684
52		0.005333776999997042
53		0.004988415999996221
54		0.004994500999998763
55		0.0052486020000017675
56		0.005623223000000621
57		0.005690852999997276
58		0.005675205999999378
59		0.005832347000001903
60		0.006000530999997977
61		0.006202760000000751
62		0.007433892000001663
63		0.007661319000000333
64		0.007026513999996098
65		0.00711681800000008
66		0.007413167999999359
67		0.009077679000000671
68		0.008296008000002075
69		0.009290768999996146
70		0.010188802999998359
71		0.027650481999998533
72		0.010106433000004245
73		0.009622951999993745
74		0.010047698000001049
75		0.010143431999999564
76		0.010424639000000013
77		0.011714881000003174
78		0.011642689000005646
79		0.028148645000001693
80		0.01153223600000075
81		0.011059735999999987
82		0.011568224999997767
83		0.012745264999999506
84		0.012523762000000715
85		0.012157952999999111
86		0.013428541000003236
87		0.013446874999999636
88		0.013404117999996856
89		0.03153448200000497
90		0.014135094999993214
91		0.013876683000006551
92		0.014120906999998795
93		0.03199445399999945
94		0.014948919999994814
95		0.015426166999993995
96		0.015555699000003642
97		0.03251222499999784
98		0.016056610999996224
99		0.016569281999998964
100		0.016542454999999734
101		0.01706001300000537
102		0.01736783999999858
103		0.01810392200000166
