Input size	Graph Creation Time	Matching Time
100 (Attempt 1)	0.025368614999933925	0.010272987999996985
100 (Attempt 2)	0.009735598000133905	0.010426789000121062
100 (Attempt 3)	0.009695388000181993	0.01043805799963593
200 (Attempt 1)	0.044970018999720196	0.0615084230003049
200 (Attempt 2)	0.040598402000341594	0.06294749100015906
200 (Attempt 3)	0.039605829999800335	0.061142388000007486
300 (Attempt 1)	0.09722024900020187	0.12427326499982883
300 (Attempt 2)	0.11045731400008663	0.12379807400020582
300 (Attempt 3)	0.11375805799980299	0.12451910499976293
400 (Attempt 1)	0.19763273000035042	0.24360908900007416
400 (Attempt 2)	0.16346894199978124	0.25128601899996283
400 (Attempt 3)	0.19085261700001865	0.24700124399987544
500 (Attempt 1)	0.2717915010002798	0.42032684100013284
500 (Attempt 2)	0.2604394139998476	0.4245400200002223
500 (Attempt 3)	0.26381295999999566	0.4381985850000092
600 (Attempt 1)	0.3945889560000069	0.6560234449998461
600 (Attempt 2)	0.3852265610003087	0.6726801859999796
600 (Attempt 3)	0.3822546070000499	0.6198041440002271
700 (Attempt 1)	0.5766782780001449	1.0077793549999114
700 (Attempt 2)	0.5469578639999781	0.9627008319998822
700 (Attempt 3)	0.5363587839997308	0.9637635290000617
800 (Attempt 1)	0.7456878939997296	1.3410080869998637
800 (Attempt 2)	0.7192975269999806	1.2727103850002095
800 (Attempt 3)	0.7112881599996399	1.3129057510000166
